composition_id	base_id	candidate_band	candidate_group	adequacao_a_coletanea_gpt_ai	adequacao_a_coletanea_humano	adequacao_a_norma_padrao_gpt_ai	adequacao_a_norma_padrao_humano	adequacao_ao_tema_gpt_ai	adequacao_ao_tema_humano	adequacao_ao_tipo_de_texto_gpt_ai	adequacao_ao_tipo_de_texto_humano	coerencia_gpt_ai	coerencia_humano	coesao_gpt_ai	coesao_humano	pontuacao_total_gpt_ai	pontuacao_total_humano	total_diff_ai_minus_humano	total_abs_diff
32875_humano_maiores_notas	32875	maiores_notas	humano_maiores_notas	3.0	3.5	2.0	3.0	3.0	4.0	5.0	4.5	5.0	3.0	4.0	2.0	22.0	20.0	2.0	2.0
33083_humano_maiores_notas	33083	maiores_notas	humano_maiores_notas	2.5	2.5	4.5	4.5	2.5	2.5	3.5	3.5	3.5	3.5	3.5	3.5	20.0	20.0	0.0	0.0
33167_humano_menores_notas	33167	menores_notas	humano_menores_notas	3.0	2.0	0.0	0.5	4.0	1.5	4.0	2.0	2.0	2.0	3.0	0.5	16.0	8.5	7.5	7.5
33228_humano_maiores_notas	33228	maiores_notas	humano_maiores_notas	3.0	3.0	0.0	4.0	3.0	2.5	4.0	3.5	4.0	3.0	4.0	4.0	18.0	20.0	-2.0	2.0
33310_humano_menores_notas	33310	menores_notas	humano_menores_notas	2.0	1.0	4.0	3.5	3.0	1.0	4.0	2.0	5.0	2.0	4.0	1.0	22.0	10.5	11.5	11.5
33360_humano_menores_notas	33360	menores_notas	humano_menores_notas	3.0	2.0	0.0	1.0	4.0	2.0	4.0	2.5	3.0	2.0	2.0	1.0	16.0	10.5	5.5	5.5
33383_humano_maiores_notas	33383	maiores_notas	humano_maiores_notas	3.0	3.0	2.0	2.5	3.0	3.0	4.0	3.5	4.0	3.0	3.5	4.0	19.5	19.0	0.5	0.5
33436_humano_menores_notas	33436	menores_notas	humano_menores_notas	3.0	1.0	0.0	0.5	4.0	1.0	4.0	2.0	4.0	1.5	3.0	2.5	18.0	8.5	9.5	9.5
33465_humano_menores_notas	33465	menores_notas	humano_menores_notas	2.5	1.5	0.0	3.5	3.0	1.0	3.0	2.0	3.0	1.5	2.5	0.0	14.0	9.5	4.5	4.5
33497_humano_menores_notas	33497	menores_notas	humano_menores_notas	2.0	1.0	1.0	0.0	3.0	2.0	4.0	2.5	3.0	2.5	3.0	0.5	16.0	8.5	7.5	7.5
33645_humano_menores_notas	33645	menores_notas	humano_menores_notas	2.0	1.0	0.0	1.5	3.0	1.5	3.0	2.0	3.0	2.0	2.0	0.5	13.0	8.5	4.5	4.5
33669_humano_maiores_notas	33669	maiores_notas	humano_maiores_notas	2.5	3.0	3.0	4.0	3.0	3.0	4.0	3.5	4.0	3.0	4.0	4.0	20.5	20.5	0.0	0.0
33787_humano_menores_notas	33787	menores_notas	humano_menores_notas	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	3.0	9.0	9.0	0.0	0.0
33789_humano_menores_notas	33789	menores_notas	humano_menores_notas	2.0	1.0	0.0	1.0	3.0	2.5	3.0	2.5	2.0	1.5	2.0	1.0	12.0	9.5	2.5	2.5
33849_humano_maiores_notas	33849	maiores_notas	humano_maiores_notas	3.5	2.5	2.0	3.0	3.5	3.5	4.0	4.0	4.0	4.0	4.0	3.0	21.0	20.0	1.0	1.0
33856_humano_menores_notas	33856	menores_notas	humano_menores_notas	2.5	2.5	0.0	0.0	2.5	2.5	2.0	2.0	2.0	2.0	1.5	1.5	10.5	10.5	0.0	0.0
33862_humano_menores_notas	33862	menores_notas	humano_menores_notas	3.0	1.0	0.0	4.0	4.0	1.0	3.0	1.5	3.0	1.0	2.0	3.0	15.0	11.5	3.5	3.5
33871_humano_menores_notas	33871	menores_notas	humano_menores_notas	3.0	2.0	2.0	0.5	3.0	2.0	3.0	2.5	4.0	2.5	3.0	0.5	18.0	10.0	8.0	8.0
33879_humano_maiores_notas	33879	maiores_notas	humano_maiores_notas	4.0	4.0	2.0	2.5	3.5	3.5	4.0	3.5	4.0	4.0	3.0	3.5	20.5	21.0	-0.5	0.5
33890_humano_maiores_notas	33890	maiores_notas	humano_maiores_notas	3.0	3.0	4.0	4.0	3.0	3.5	4.0	4.0	4.0	5.0	5.0	5.0	23.0	24.5	-1.5	1.5
33895_humano_maiores_notas	33895	maiores_notas	humano_maiores_notas	4.0	3.0	1.0	4.0	4.0	3.5	4.5	4.0	4.0	4.0	4.0	3.0	21.5	21.5	0.0	0.0
33914_humano_maiores_notas	33914	maiores_notas	humano_maiores_notas	2.5	2.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	4.5	19.5	19.5	0.0	0.0
33927_humano_maiores_notas	33927	maiores_notas	humano_maiores_notas	4.0	3.5	4.0	4.0	3.0	3.5	4.0	4.0	4.0	3.5	4.0	3.5	23.0	22.0	1.0	1.0
33948_humano_menores_notas	33948	menores_notas	humano_menores_notas	2.0	2.0	0.0	0.5	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.5	13.0	11.0	2.0	2.0
33964_humano_menores_notas	33964	menores_notas	humano_menores_notas	3.0	2.0	0.0	0.0	3.0	2.0	3.0	2.5	2.0	2.5	3.0	2.0	14.0	11.0	3.0	3.0
33975_humano_maiores_notas	33975	maiores_notas	humano_maiores_notas	2.0	2.5	2.0	5.0	3.0	3.0	4.0	3.0	4.0	2.5	4.0	3.0	19.0	19.0	0.0	0.0
33978_humano_maiores_notas	33978	maiores_notas	humano_maiores_notas	3.0	3.5	2.0	1.0	3.0	3.5	4.0	4.0	3.0	3.0	3.0	4.0	18.0	19.0	-1.0	1.0
33991_humano_maiores_notas	33991	maiores_notas	humano_maiores_notas	3.0	3.0	3.0	3.0	3.5	3.5	3.5	3.5	4.0	4.0	4.5	4.5	21.5	21.5	0.0	0.0
33999_humano_maiores_notas	33999	maiores_notas	humano_maiores_notas	3.5	3.0	4.5	3.0	4.0	3.0	4.5	3.5	4.0	3.5	4.5	4.5	25.0	20.5	4.5	4.5
34009_humano_menores_notas	34009	menores_notas	humano_menores_notas	3.0	1.0	3.0	0.0	3.5	1.0	4.5	3.5	5.0	1.0	4.0	3.5	23.0	10.0	13.0	13.0
34025_humano_menores_notas	34025	menores_notas	humano_menores_notas	2.0	1.0	3.0	0.5	3.0	1.0	4.0	2.0	3.0	1.0	4.0	2.5	19.0	8.0	11.0	11.0
34032_humano_maiores_notas	34032	maiores_notas	humano_maiores_notas	3.0	3.0	4.0	4.5	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.5	21.0	20.0	1.0	1.0
34046_humano_menores_notas	34046	menores_notas	humano_menores_notas	2.0	1.0	1.0	1.5	3.0	1.0	4.0	2.0	3.0	2.0	4.0	2.5	17.0	10.0	7.0	7.0
34050_humano_maiores_notas	34050	maiores_notas	humano_maiores_notas	4.0	3.5	4.0	3.5	4.5	3.5	4.0	3.0	4.0	3.5	4.0	2.0	24.5	19.0	5.5	5.5
34084_humano_maiores_notas	34084	maiores_notas	humano_maiores_notas	4.5	3.0	4.0	5.0	4.0	3.5	4.0	3.0	4.0	3.5	4.0	4.0	24.5	22.0	2.5	2.5
34086_humano_maiores_notas	34086	maiores_notas	humano_maiores_notas	4.0	3.0	3.0	4.0	3.0	3.0	4.5	3.5	4.0	3.0	4.0	2.5	22.5	19.0	3.5	3.5
34096_humano_maiores_notas	34096	maiores_notas	humano_maiores_notas	3.0	4.0	3.0	3.5	3.0	4.5	4.0	4.0	4.0	5.0	3.0	3.5	20.0	24.5	-4.5	4.5
34116_humano_maiores_notas	34116	maiores_notas	humano_maiores_notas	4.0	2.5	5.0	4.0	5.0	2.5	5.0	3.5	5.0	3.5	5.0	4.0	29.0	20.0	9.0	9.0
34148_humano_maiores_notas	34148	maiores_notas	humano_maiores_notas	3.5	3.5	2.0	4.5	4.0	4.0	4.0	3.5	3.0	5.0	3.0	4.0	19.5	24.5	-5.0	5.0
34175_humano_maiores_notas	34175	maiores_notas	humano_maiores_notas	4.0	2.5	5.0	4.0	4.0	2.5	5.0	2.5	5.0	3.5	5.0	4.5	28.0	19.5	8.5	8.5
34185_humano_menores_notas	34185	menores_notas	humano_menores_notas	2.0	1.0	0.0	0.0	3.0	2.0	4.0	3.0	4.0	3.0	3.0	1.0	16.0	10.0	6.0	6.0
34210_humano_menores_notas	34210	menores_notas	humano_menores_notas	3.0	1.0	0.0	0.0	4.0	2.0	3.5	2.0	4.0	3.0	2.0	3.0	16.5	11.0	5.5	5.5
34236_humano_menores_notas	34236	menores_notas	humano_menores_notas	3.0	1.0	1.5	0.0	4.0	1.0	4.0	3.0	4.0	2.0	2.5	1.5	19.0	8.5	10.5	10.5
34251_humano_menores_notas	34251	menores_notas	humano_menores_notas	2.0	2.0	0.0	1.0	3.0	2.0	4.0	2.5	3.0	2.0	2.0	2.0	14.0	11.5	2.5	2.5
34273_humano_menores_notas	34273	menores_notas	humano_menores_notas	2.0	1.5	0.0	0.0	3.0	1.5	4.0	2.0	3.0	2.5	2.0	2.5	14.0	10.0	4.0	4.0
34277_humano_maiores_notas	34277	maiores_notas	humano_maiores_notas	4.5	3.5	4.0	4.5	4.5	3.5	4.5	3.5	4.0	3.5	3.5	4.0	25.0	22.5	2.5	2.5
34281_humano_maiores_notas	34281	maiores_notas	humano_maiores_notas	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.5	3.0	4.0	4.0	21.5	21.0	0.5	0.5
34306_humano_maiores_notas	34306	maiores_notas	humano_maiores_notas	3.0	3.0	0.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	18.0	23.0	-5.0	5.0
34308_humano_menores_notas	34308	menores_notas	humano_menores_notas	2.5	2.0	1.0	1.5	2.5	2.0	3.0	2.0	3.0	2.5	3.0	0.5	15.0	10.5	4.5	4.5
34353_humano_maiores_notas	34353	maiores_notas	humano_maiores_notas	2.5	2.5	0.0	4.5	3.0	2.5	3.0	4.0	2.0	2.5	2.0	4.5	12.5	20.5	-8.0	8.0
34356_humano_menores_notas	34356	menores_notas	humano_menores_notas	2.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	3.0	0.0	2.5	0.0	13.5	0.0	13.5	13.5
34362_humano_menores_notas	34362	menores_notas	humano_menores_notas	1.0	0.5	0.0	0.0	2.0	1.0	2.0	1.5	1.0	1.5	0.0	0.0	6.0	4.5	1.5	1.5
34381_humano_maiores_notas	34381	maiores_notas	humano_maiores_notas	3.0	4.0	3.0	3.0	3.5	3.5	4.0	3.5	3.0	3.0	3.0	2.5	19.5	19.5	0.0	0.0
34419_humano_maiores_notas	34419	maiores_notas	humano_maiores_notas	3.5	3.0	3.0	3.0	3.5	3.0	4.5	3.5	4.0	4.0	4.0	3.5	22.5	20.0	2.5	2.5
34461_humano_maiores_notas	34461	maiores_notas	humano_maiores_notas	3.5	3.0	0.0	3.5	3.5	3.0	4.0	4.0	2.0	3.0	2.0	3.0	15.0	19.5	-4.5	4.5
34511_humano_maiores_notas	34511	maiores_notas	humano_maiores_notas	5.0	3.5	2.0	3.5	4.0	3.5	4.0	4.0	4.0	3.5	3.0	2.0	22.0	20.0	2.0	2.0
34537_humano_menores_notas	34537	menores_notas	humano_menores_notas	2.5	2.0	0.0	1.5	3.0	2.0	3.5	2.5	4.0	2.5	3.0	0.5	16.0	11.0	5.0	5.0
34613_humano_menores_notas	34613	menores_notas	humano_menores_notas	3.0	1.5	0.0	1.0	3.5	1.5	3.0	2.0	3.0	2.5	2.0	3.0	14.5	11.5	3.0	3.0
34616_humano_menores_notas	34616	menores_notas	humano_menores_notas	2.0	3.0	1.0	0.0	3.0	2.0	3.0	2.5	3.0	2.0	2.0	0.5	14.0	10.0	4.0	4.0
34618_humano_menores_notas	34618	menores_notas	humano_menores_notas	2.0	1.5	0.0	2.0	3.0	2.0	3.0	2.5	2.0	2.0	2.0	0.0	12.0	10.0	2.0	2.0
34637_humano_menores_notas	34637	menores_notas	humano_menores_notas	2.0	1.0	0.0	2.5	3.0	1.0	3.0	2.5	2.0	1.5	2.0	2.5	12.0	11.0	1.0	1.0
34638_humano_menores_notas	34638	menores_notas	humano_menores_notas	2.0	1.0	0.0	0.0	3.0	2.5	4.0	2.0	3.0	3.0	2.0	1.5	14.0	10.0	4.0	4.0
34641_humano_maiores_notas	34641	maiores_notas	humano_maiores_notas	4.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	5.0	3.5	4.0	2.5	25.0	22.0	3.0	3.0
34642_humano_menores_notas	34642	menores_notas	humano_menores_notas	2.0	0.5	2.0	3.0	3.0	1.5	3.0	2.0	4.0	2.5	3.0	0.0	17.0	9.5	7.5	7.5
34648_humano_maiores_notas	34648	maiores_notas	humano_maiores_notas	4.0	3.5	4.0	3.5	4.0	4.0	5.0	3.5	4.0	3.0	4.0	4.0	25.0	21.5	3.5	3.5
34652_humano_maiores_notas	34652	maiores_notas	humano_maiores_notas	4.0	4.0	3.0	3.5	4.5	3.5	4.5	3.5	4.0	3.5	3.5	3.0	23.5	21.0	2.5	2.5
34675_humano_maiores_notas	34675	maiores_notas	humano_maiores_notas	4.0	3.5	5.0	3.5	4.0	3.0	5.0	3.5	5.0	3.0	5.0	3.5	28.0	20.0	8.0	8.0
34698_humano_maiores_notas	34698	maiores_notas	humano_maiores_notas	4.5	3.5	4.0	4.5	4.5	3.5	5.0	3.5	5.0	3.0	5.0	4.0	28.0	22.0	6.0	6.0
34714_humano_menores_notas	34714	menores_notas	humano_menores_notas	1.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	8.0	8.0	0.0	0.0
34717_humano_maiores_notas	34717	maiores_notas	humano_maiores_notas	4.5	4.0	4.0	4.0	4.5	3.5	5.0	3.5	5.0	3.5	5.0	4.0	28.0	22.5	5.5	5.5
34726_humano_maiores_notas	34726	maiores_notas	humano_maiores_notas	3.0	3.0	5.0	5.0	4.0	5.0	4.0	3.5	5.0	4.5	5.0	5.0	26.0	26.0	0.0	0.0
34743_humano_menores_notas	34743	menores_notas	humano_menores_notas	2.0	1.0	0.0	2.5	3.0	1.0	3.0	1.5	3.0	1.0	3.0	2.5	14.0	9.5	4.5	4.5
34754_humano_maiores_notas	34754	maiores_notas	humano_maiores_notas	4.5	3.5	4.0	4.5	4.5	3.5	4.0	4.0	5.0	3.5	5.0	3.5	27.0	22.5	4.5	4.5
34802_humano_maiores_notas	34802	maiores_notas	humano_maiores_notas	3.0	2.5	4.0	4.0	3.0	3.0	4.0	3.0	5.0	3.5	4.0	4.0	23.0	20.0	3.0	3.0
34807_humano_menores_notas	34807	menores_notas	humano_menores_notas	4.0	1.0	3.0	2.0	4.0	1.0	3.5	2.0	4.0	1.0	3.0	2.0	21.5	9.0	12.5	12.5
34811_humano_maiores_notas	34811	maiores_notas	humano_maiores_notas	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	26.0	26.0	0.0	0.0
34813_humano_maiores_notas	34813	maiores_notas	humano_maiores_notas	3.5	4.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	4.5	4.0	3.0	23.5	24.5	-1.0	1.0
34823_humano_menores_notas	34823	menores_notas	humano_menores_notas	3.0	2.0	0.0	0.5	3.0	2.0	4.0	2.5	2.0	2.0	2.0	2.0	14.0	11.0	3.0	3.0
34832_humano_maiores_notas	34832	maiores_notas	humano_maiores_notas	4.0	3.0	4.0	3.0	4.0	3.0	4.5	3.5	4.0	3.0	4.0	4.0	24.5	19.5	5.0	5.0
34841_humano_maiores_notas	34841	maiores_notas	humano_maiores_notas	3.5	3.5	4.5	4.5	3.5	3.5	4.0	4.0	4.0	4.0	3.5	3.5	23.0	23.0	0.0	0.0
34844_humano_maiores_notas	34844	maiores_notas	humano_maiores_notas	3.0	3.0	5.0	5.0	3.0	3.0	4.0	4.0	4.5	4.5	5.0	5.0	24.5	24.5	0.0	0.0
34875_humano_maiores_notas	34875	maiores_notas	humano_maiores_notas	3.5	1.0	4.0	4.0	4.0	2.5	4.0	4.0	4.0	3.5	5.0	4.5	24.5	19.5	5.0	5.0
34895_humano_menores_notas	34895	menores_notas	humano_menores_notas	3.0	2.0	2.0	0.5	4.0	2.0	4.0	2.0	4.0	2.0	4.0	0.0	21.0	8.5	12.5	12.5
34901_humano_maiores_notas	34901	maiores_notas	humano_maiores_notas	3.5	3.0	3.0	4.5	4.0	2.0	4.5	4.0	4.0	4.5	4.0	4.5	23.0	22.5	0.5	0.5
34967_humano_maiores_notas	34967	maiores_notas	humano_maiores_notas	4.0	3.5	2.0	2.5	4.5	3.0	5.0	3.5	4.0	3.0	4.0	4.0	23.5	19.5	4.0	4.0
34971_humano_menores_notas	34971	menores_notas	humano_menores_notas	2.0	1.5	1.0	1.5	3.0	1.5	4.0	2.5	3.0	2.0	3.0	2.5	16.0	11.5	4.5	4.5
34994_humano_maiores_notas	34994	maiores_notas	humano_maiores_notas	3.0	2.0	3.0	4.0	3.5	3.0	4.5	3.0	5.0	4.5	5.0	4.5	24.0	21.0	3.0	3.0
35019_humano_menores_notas	35019	menores_notas	humano_menores_notas	2.0	1.5	2.0	1.0	3.0	1.0	3.0	2.0	3.0	2.5	3.0	3.0	16.0	11.0	5.0	5.0
35028_humano_menores_notas	35028	menores_notas	humano_menores_notas	2.0	1.5	0.0	0.0	3.0	2.0	3.0	2.5	3.0	2.0	3.0	2.0	14.0	10.0	4.0	4.0
35053_humano_maiores_notas	35053	maiores_notas	humano_maiores_notas	3.0	3.5	3.0	4.0	3.0	3.5	4.0	3.5	4.0	2.5	4.0	4.0	21.0	21.0	0.0	0.0
35056_humano_menores_notas	35056	menores_notas	humano_menores_notas	3.0	1.0	4.0	3.0	3.5	1.0	2.0	1.5	3.0	1.5	2.0	1.5	17.5	9.5	8.0	8.0
35071_humano_menores_notas	35071	menores_notas	humano_menores_notas	4.0	0.0	3.0	0.0	3.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0	22.0	0.0	22.0	22.0
35072_humano_menores_notas	35072	menores_notas	humano_menores_notas	3.0	1.0	3.0	3.0	4.0	1.0	3.0	2.0	4.0	1.5	3.0	3.0	20.0	11.5	8.5	8.5
35077_humano_maiores_notas	35077	maiores_notas	humano_maiores_notas	2.5	4.0	4.0	3.5	3.0	3.0	4.0	3.5	4.0	3.5	4.0	3.0	21.5	20.5	1.0	1.0
35100_humano_maiores_notas	35100	maiores_notas	humano_maiores_notas	3.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	5.0	3.5	4.0	4.5	24.0	22.0	2.0	2.0
35121_humano_maiores_notas	35121	maiores_notas	humano_maiores_notas	3.5	3.5	4.0	4.0	4.0	4.0	2.5	2.5	4.0	4.0	3.0	3.0	21.0	21.0	0.0	0.0
35125_humano_maiores_notas	35125	maiores_notas	humano_maiores_notas	2.0	2.0	4.0	4.0	3.0	3.0	4.0	3.5	4.0	4.0	3.0	3.5	20.0	20.0	0.0	0.0
35126_humano_maiores_notas	35126	maiores_notas	humano_maiores_notas	3.0	1.5	5.0	4.5	3.5	3.0	4.0	3.5	5.0	3.0	5.0	4.0	25.5	19.5	6.0	6.0
35131_humano_menores_notas	35131	menores_notas	humano_menores_notas	2.0	1.0	2.0	1.0	3.0	1.0	3.0	1.0	3.0	1.5	4.0	3.0	17.0	8.5	8.5	8.5
35134_humano_maiores_notas	35134	maiores_notas	humano_maiores_notas	2.5	3.5	4.0	4.5	3.0	3.0	4.5	4.0	4.0	3.5	4.5	4.5	22.5	23.0	-0.5	0.5
35136_humano_menores_notas	35136	menores_notas	humano_menores_notas	3.5	2.5	2.0	0.5	4.0	2.0	3.5	2.5	3.0	2.5	3.0	1.5	19.0	11.5	7.5	7.5
35163_humano_menores_notas	35163	menores_notas	humano_menores_notas	4.0	1.0	2.0	4.0	4.0	1.0	3.5	1.5	2.5	1.5	3.0	2.5	19.0	11.5	7.5	7.5
35173_humano_menores_notas	35173	menores_notas	humano_menores_notas	1.0	1.5	0.0	0.0	2.0	2.0	3.0	1.5	3.0	2.0	3.0	2.0	12.0	9.0	3.0	3.0
35198_humano_menores_notas	35198	menores_notas	humano_menores_notas	1.5	1.0	1.0	1.5	2.0	1.0	3.0	2.5	2.0	2.0	2.0	2.5	11.5	10.5	1.0	1.0
35214_humano_menores_notas	35214	menores_notas	humano_menores_notas	2.0	1.5	0.0	0.0	3.0	2.5	3.5	2.5	4.0	3.0	3.0	1.5	15.5	11.0	4.5	4.5
35217_humano_menores_notas	35217	menores_notas	humano_menores_notas	1.0	0.0	2.0	0.0	1.5	0.0	3.0	0.0	3.0	0.0	3.0	0.0	13.5	0.0	13.5	13.5
35220_humano_menores_notas	35220	menores_notas	humano_menores_notas	3.0	1.0	2.0	2.0	3.0	1.0	4.0	1.5	4.0	1.0	3.0	2.0	19.0	8.5	10.5	10.5
35228_humano_menores_notas	35228	menores_notas	humano_menores_notas	2.0	2.0	0.0	0.5	3.0	2.0	4.0	2.5	3.0	1.5	3.0	0.5	15.0	9.0	6.0	6.0
35240_humano_maiores_notas	35240	maiores_notas	humano_maiores_notas	3.5	3.5	4.0	4.0	4.0	4.0	4.5	4.5	5.0	5.0	4.0	4.0	25.0	25.0	0.0	0.0
35247_humano_maiores_notas	35247	maiores_notas	humano_maiores_notas	3.5	3.0	2.0	5.0	3.0	3.0	4.0	3.5	3.0	3.5	3.0	4.0	18.5	22.0	-3.5	3.5
35278_humano_menores_notas	35278	menores_notas	humano_menores_notas	3.0	1.5	0.0	0.5	4.0	1.5	2.0	2.0	2.0	2.5	3.0	2.0	14.0	10.0	4.0	4.0
35291_humano_menores_notas	35291	menores_notas	humano_menores_notas	2.0	1.0	2.0	0.0	3.0	1.0	3.5	1.0	4.0	1.0	3.0	4.0	17.5	8.0	9.5	9.5
35378_humano_maiores_notas	35378	maiores_notas	humano_maiores_notas	4.0	2.5	0.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	19.0	19.5	-0.5	0.5
35400_humano_maiores_notas	35400	maiores_notas	humano_maiores_notas	4.0	4.0	4.0	3.5	3.0	4.0	5.0	4.5	4.0	4.5	4.0	3.0	24.0	23.5	0.5	0.5
35451_humano_maiores_notas	35451	maiores_notas	humano_maiores_notas	3.5	3.0	4.0	4.0	3.0	3.0	4.0	3.0	5.0	3.0	5.0	4.0	24.5	20.0	4.5	4.5
35457_humano_menores_notas	35457	menores_notas	humano_menores_notas	4.0	1.5	1.5	0.0	4.0	1.5	4.0	1.5	3.0	1.5	3.0	3.0	19.5	9.0	10.5	10.5
35464_humano_maiores_notas	35464	maiores_notas	humano_maiores_notas	4.0	3.0	3.0	4.0	4.0	4.0	4.0	3.5	4.0	4.0	3.5	2.0	22.5	20.5	2.0	2.0
35465_humano_menores_notas	35465	menores_notas	humano_menores_notas	2.0	1.5	0.0	0.5	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	12.0	11.0	1.0	1.0
35482_humano_maiores_notas	35482	maiores_notas	humano_maiores_notas	4.0	3.0	4.0	4.0	3.5	3.0	4.0	3.0	4.0	3.5	3.5	3.0	23.0	19.5	3.5	3.5
35485_humano_menores_notas	35485	menores_notas	humano_menores_notas	3.0	3.5	0.0	0.0	3.0	2.5	3.0	3.0	2.0	1.5	1.0	0.0	12.0	10.5	1.5	1.5
35496_humano_maiores_notas	35496	maiores_notas	humano_maiores_notas	4.0	3.0	0.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	18.0	20.0	-2.0	2.0
35497_humano_maiores_notas	35497	maiores_notas	humano_maiores_notas	4.0	4.0	5.0	4.0	3.5	4.0	5.0	4.0	5.0	3.0	5.0	3.0	27.5	22.0	5.5	5.5
35542_humano_maiores_notas	35542	maiores_notas	humano_maiores_notas	4.0	3.0	4.0	4.0	4.0	3.0	4.0	3.5	5.0	3.5	4.0	2.5	25.0	19.5	5.5	5.5
35549_humano_menores_notas	35549	menores_notas	humano_menores_notas	2.0	1.0	0.0	0.0	3.0	1.0	4.0	2.5	3.0	1.5	2.0	1.0	14.0	7.0	7.0	7.0
35577_humano_menores_notas	35577	menores_notas	humano_menores_notas	2.0	1.0	0.0	0.0	3.0	1.0	3.0	1.0	3.0	1.0	2.0	3.0	13.0	7.0	6.0	6.0
35633_humano_menores_notas	35633	menores_notas	humano_menores_notas	4.5	2.0	2.0	0.5	4.5	2.0	4.0	2.0	4.0	2.0	4.0	2.0	23.0	10.5	12.5	12.5
35647_humano_maiores_notas	35647	maiores_notas	humano_maiores_notas	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	23.0	20.0	3.0	3.0
35661_humano_menores_notas	35661	menores_notas	humano_menores_notas	3.5	2.5	0.0	0.0	3.5	1.5	3.0	2.0	3.0	2.0	2.0	3.0	15.0	11.0	4.0	4.0
35733_humano_maiores_notas	35733	maiores_notas	humano_maiores_notas	4.0	4.0	5.0	5.0	4.5	4.0	5.0	4.0	5.0	3.5	5.0	3.0	28.5	23.5	5.0	5.0
35734_humano_maiores_notas	35734	maiores_notas	humano_maiores_notas	4.0	4.5	3.0	3.0	4.0	4.5	4.0	4.5	5.0	3.0	4.0	0.0	24.0	19.5	4.5	4.5
35750_humano_maiores_notas	35750	maiores_notas	humano_maiores_notas	4.0	3.0	3.0	4.0	3.5	3.0	4.0	4.0	4.0	3.5	3.0	3.0	21.5	20.5	1.0	1.0
